# Real monthly US AQI from Open-Meteo Air-Quality archive (no key).
# Chennai, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,aqi
87618c4c0ffffff,13.02531,80.17579,27,83.7
87618c4c0ffffff,13.02531,80.17579,28,86.9
87618c4c0ffffff,13.02531,80.17579,29,68.0
87618c4c0ffffff,13.02531,80.17579,30,57.5
87618c4c0ffffff,13.02531,80.17579,31,68.6
87618c4c0ffffff,13.02531,80.17579,32,68.8
87618c4c0ffffff,13.02531,80.17579,33,70.3
87618c4c0ffffff,13.02531,80.17579,34,97.0
87618c4c0ffffff,13.02531,80.17579,35,114.3
87618c4c0ffffff,13.02531,80.17579,36,116.6
87618c4c0ffffff,13.02531,80.17579,37,104.5
87618c4c0ffffff,13.02531,80.17579,38,90.6
87618c4c0ffffff,13.02531,80.17579,39,69.7
87618c4c0ffffff,13.02531,80.17579,40,80.1
87618c4c0ffffff,13.02531,80.17579,41,72.4
87618c4c1ffffff,13.01801,80.15397,0,123.4
87618c4c1ffffff,13.01801,80.15397,1,124.0
87618c4c1ffffff,13.01801,80.15397,2,90.6
87618c4c1ffffff,13.01801,80.15397,3,83.6
87618c4c1ffffff,13.01801,80.15397,4,104.1
87618c4c1ffffff,13.01801,80.15397,5,81.5
87618c4c1ffffff,13.01801,80.15397,6,56.4
87618c4c1ffffff,13.01801,80.15397,7,74.5
87618c4c1ffffff,13.01801,80.15397,8,66.4
87618c4c1ffffff,13.01801,80.15397,9,104.6
87618c4c1ffffff,13.01801,80.15397,10,70.9
87618c4c1ffffff,13.01801,80.15397,11,84.2
87618c4c1ffffff,13.01801,80.15397,12,98.2
87618c4c1ffffff,13.01801,80.15397,13,81.4
87618c4c1ffffff,13.01801,80.15397,14,80.5
87618c4c1ffffff,13.01801,80.15397,15,68.2
87618c4c1ffffff,13.01801,80.15397,16,66.5
87618c4c1ffffff,13.01801,80.15397,17,72.4
87618c4c1ffffff,13.01801,80.15397,18,57.6
87618c4c1ffffff,13.01801,80.15397,19,66.1
87618c4c1ffffff,13.01801,80.15397,20,69.1
87618c4c1ffffff,13.01801,80.15397,21,84.6
87618c4c1ffffff,13.01801,80.15397,22,86.7
87618c4c1ffffff,13.01801,80.15397,23,77.0
87618c4c1ffffff,13.01801,80.15397,24,109.1
87618c4c1ffffff,13.01801,80.15397,25,110.3
87618c4c1ffffff,13.01801,80.15397,26,84.2
87618c4c1ffffff,13.01801,80.15397,27,83.7
87618c4c1ffffff,13.01801,80.15397,28,86.9
87618c4c1ffffff,13.01801,80.15397,29,68.0
87618c4c1ffffff,13.01801,80.15397,30,57.5
87618c4c1ffffff,13.01801,80.15397,31,68.6
87618c4c1ffffff,13.01801,80.15397,32,68.8
87618c4c1ffffff,13.01801,80.15397,33,70.3
87618c4c1ffffff,13.01801,80.15397,34,97.0
87618c4c1ffffff,13.01801,80.15397,35,114.3
87618c4c1ffffff,13.01801,80.15397,36,116.6
87618c4c1ffffff,13.01801,80.15397,37,104.5
87618c4c1ffffff,13.01801,80.15397,38,90.6
87618c4c1ffffff,13.01801,80.15397,39,69.7
87618c4c1ffffff,13.01801,80.15397,40,80.1
87618c4c1ffffff,13.01801,80.15397,41,72.4
87618c4c2ffffff,13.04800,80.18070,0,123.4
87618c4c2ffffff,13.04800,80.18070,1,124.0
87618c4c2ffffff,13.04800,80.18070,2,90.6
87618c4c2ffffff,13.04800,80.18070,3,83.6
87618c4c2ffffff,13.04800,80.18070,4,104.1
87618c4c2ffffff,13.04800,80.18070,5,81.5
87618c4c2ffffff,13.04800,80.18070,6,56.4
87618c4c2ffffff,13.04800,80.18070,7,74.5
87618c4c2ffffff,13.04800,80.18070,8,66.4
87618c4c2ffffff,13.04800,80.18070,9,104.6
87618c4c2ffffff,13.04800,80.18070,10,70.9
87618c4c2ffffff,13.04800,80.18070,11,84.2
87618c4c2ffffff,13.04800,80.18070,12,98.2
87618c4c2ffffff,13.04800,80.18070,13,81.4
87618c4c2ffffff,13.04800,80.18070,14,80.5
87618c4c2ffffff,13.04800,80.18070,15,68.2
87618c4c2ffffff,13.04800,80.18070,16,66.5
87618c4c2ffffff,13.04800,80.18070,17,72.4
87618c4c2ffffff,13.04800,80.18070,18,57.6
87618c4c2ffffff,13.04800,80.18070,19,66.1
87618c4c2ffffff,13.04800,80.18070,20,69.1
87618c4c2ffffff,13.04800,80.18070,21,84.6
87618c4c2ffffff,13.04800,80.18070,22,86.7
87618c4c2ffffff,13.04800,80.18070,23,77.0
87618c4c2ffffff,13.04800,80.18070,24,109.1
87618c4c2ffffff,13.04800,80.18070,25,110.3
87618c4c2ffffff,13.04800,80.18070,26,84.2
87618c4c2ffffff,13.04800,80.18070,27,83.7
87618c4c2ffffff,13.04800,80.18070,28,86.9
87618c4c2ffffff,13.04800,80.18070,29,68.0
87618c4c2ffffff,13.04800,80.18070,30,57.5
87618c4c2ffffff,13.04800,80.18070,31,68.6
87618c4c2ffffff,13.04800,80.18070,32,68.8
87618c4c2ffffff,13.04800,80.18070,33,70.3
87618c4c2ffffff,13.04800,80.18070,34,97.0
87618c4c2ffffff,13.04800,80.18070,35,114.3
87618c4c2ffffff,13.04800,80.18070,36,116.6
87618c4c2ffffff,13.04800,80.18070,37,104.5
87618c4c2ffffff,13.04800,80.18070,38,90.6
87618c4c2ffffff,13.04800,80.18070,39,69.7
87618c4c2ffffff,13.04800,80.18070,40,80.1
87618c4c2ffffff,13.04800,80.18070,41,72.4
87618c4c3ffffff,13.04070,80.15887,0,123.4
87618c4c3ffffff,13.04070,80.15887,1,124.0
87618c4c3ffffff,13.04070,80.15887,2,90.6
87618c4c3ffffff,13.04070,80.15887,3,83.6
87618c4c3ffffff,13.04070,80.15887,4,104.1
87618c4c3ffffff,13.04070,80.15887,5,81.5
87618c4c3ffffff,13.04070,80.15887,6,56.4
87618c4c3ffffff,13.04070,80.15887,7,74.5
87618c4c3ffffff,13.04070,80.15887,8,66.4
87618c4c3ffffff,13.04070,80.15887,9,104.6
87618c4c3ffffff,13.04070,80.15887,10,70.9
87618c4c3ffffff,13.04070,80.15887,11,84.2
87618c4c3ffffff,13.04070,80.15887,12,98.2
87618c4c3ffffff,13.04070,80.15887,13,81.4
87618c4c3ffffff,13.04070,80.15887,14,80.5
87618c4c3ffffff,13.04070,80.15887,15,68.2
87618c4c3ffffff,13.04070,80.15887,16,66.5
87618c4c3ffffff,13.04070,80.15887,17,72.4
87618c4c3ffffff,13.04070,80.15887,18,57.6
87618c4c3ffffff,13.04070,80.15887,19,66.1
87618c4c3ffffff,13.04070,80.15887,20,69.1
87618c4c3ffffff,13.04070,80.15887,21,84.6
87618c4c3ffffff,13.04070,80.15887,22,86.7
87618c4c3ffffff,13.04070,80.15887,23,77.0
87618c4c3ffffff,13.04070,80.15887,24,109.1
87618c4c3ffffff,13.04070,80.15887,25,110.3
87618c4c3ffffff,13.04070,80.15887,26,84.2
87618c4c3ffffff,13.04070,80.15887,27,83.7
87618c4c3ffffff,13.04070,80.15887,28,86.9
87618c4c3ffffff,13.04070,80.15887,29,68.0
87618c4c3ffffff,13.04070,80.15887,30,57.5
87618c4c3ffffff,13.04070,80.15887,31,68.6
87618c4c3ffffff,13.04070,80.15887,32,68.8
87618c4c3ffffff,13.04070,80.15887,33,70.3
87618c4c3ffffff,13.04070,80.15887,34,97.0
87618c4c3ffffff,13.04070,80.15887,35,114.3
87618c4c3ffffff,13.04070,80.15887,36,116.6
87618c4c3ffffff,13.04070,80.15887,37,104.5
87618c4c3ffffff,13.04070,80.15887,38,90.6
87618c4c3ffffff,13.04070,80.15887,39,69.7
87618c4c3ffffff,13.04070,80.15887,40,80.1
87618c4c3ffffff,13.04070,80.15887,41,72.4
87618c4c4ffffff,13.00993,80.19272,0,123.4
87618c4c4ffffff,13.00993,80.19272,1,124.0
87618c4c4ffffff,13.00993,80.19272,2,90.6
87618c4c4ffffff,13.00993,80.19272,3,83.6
87618c4c4ffffff,13.00993,80.19272,4,104.1
87618c4c4ffffff,13.00993,80.19272,5,81.5
87618c4c4ffffff,13.00993,80.19272,6,56.4
87618c4c4ffffff,13.00993,80.19272,7,74.5
87618c4c4ffffff,13.00993,80.19272,8,66.4
87618c4c4ffffff,13.00993,80.19272,9,104.6
87618c4c4ffffff,13.00993,80.19272,10,70.9
87618c4c4ffffff,13.00993,80.19272,11,84.2
87618c4c4ffffff,13.00993,80.19272,12,98.2
87618c4c4ffffff,13.00993,80.19272,13,81.4
87618c4c4ffffff,13.00993,80.19272,14,80.5
